"numero_uai","denomination_principale_uai","patronyme_uai","adresse_uai","localite_acheminement_uai","departement","code_postal_uai"
"0750250P","ECOLE PRIMAIRE PRIVEE","ATRIUM DU LYCEE","13 AVENUE D'ITALIE","PARIS",75,75013
"0750680G","LYCEE GENERAL ET TECHNOLOGIQUE","ARAGO","4  PLACE DE LA NATION","PARIS",75,75012
"0750681H","LPO LYCEE DES METIERS","BOULLE ESAA","9 rue PIERRE BOURDAN","PARIS",75,75012
"0750683K","LYCEE GENERAL","CLAUDE MONET","1 rue DU DOCTEUR MAGNAN","PARIS",75,75013
"0750684L","LYCEE GENERAL","GABRIEL FAURE","81  AVENUE DE CHOISY","PARIS",75,75013
"0731357D","LYCEE TECHNOLOGIQUE PRIVE","ST AMBROISE","2 RUE BURDIN","CHAMBERY CEDEX",73,73025
"0755025E","LYCEE GENERAL PRIVE","HEIKHAL MENAHEM SINAI","110 BOULEVARD DE MENILMONTANT","PARIS",75,75020
"0750707L","LYCEE TECHNOLOGIQUE","ECOLE NATIONALE DE COMMERCE","70  BOULEVARD BESSIERES","PARIS",75,75017
"0750708M","LPO LYCEE DES METIERS","JEAN DROUANT","20  RUE MEDERIC","PARIS",75,75017
"0750711R","LYCEE GENERAL ET TECHNOLOGIQUE","HENRI BERGSON","27  RUE EDOUARD PAILLERON","PARIS",75,75019
"0750714U","LYCEE GENERAL","HELENE BOUCHER","75  COURS DE VINCENNES","PARIS",75,75020
"0754016H","LYCEE POLYVALENT PRIVE","L'INITIATIVE","24  RUE BOURET","PARIS",75,75019
"0750685M","LYCEE GENERAL ET TECHNOLOGIQUE","PIERRE-GILLES DE GENNES-ENCPB","11  RUE PIRANDELLO","PARIS",75,75013
"0750769D","LYCEE PROFESSIONNEL","D ALEMBERT(IND DU CUIR)","22 SENTE DES DOREES","PARIS",75,75019
"0750799L","LYCEE PROFESSIONNEL",,"23 RUE BOINOD","PARIS",75,75018
"0750800M","LYCEE PROFESSIONNEL","EDMOND ROSTAND","15  RUE DE L'EVANGILE","PARIS",75,75018
"0752231T","COURS DE PROMOTION PRO","LYCEE D ETAT","9  RUE FRANCIS DE CROISSET","PARIS",75,75018
"0753834K","LYCEE GENERAL PRIVE","YABNE","29  AVENUE LEON BOLLEE","PARIS",75,75013
"0753838P","LYCEE GENERAL PRIVE","SAINT-SULPICE","68  RUE D'ASSAS","PARIS",75,75006
"0753839R","LYCEE POLYVALENT PRIVE","ADELINE DESIR","50 RUE DE RENNES","PARIS",75,75006
"0753842U","LYCEE GEN.ET TECHNOL.PRIVE","NOTRE-DAME DE SION","61  RUE NOTRE DAME DES CHAMPS","PARIS",75,75006
"0753844W","LYCEE GEN.ET TECHNOL.PRIVE","SAINTE-GENEVIEVE","64  RUE D'ASSAS","PARIS",75,75006
"0753848A","LYCEE GENERAL PRIVE","D'HULST","21  RUE DE VARENNE","PARIS",75,75007
"0762348P","ANNEXE LYCEE MARITIME","ANITA CONTI","128 BOULEVARD GEORGES CLEMENCEAU","LE HAVRE",76,76600
"0753231E","LYCEE GENERAL PRIVE","SINAI","2  RUE TRISTAN TZARA","PARIS",75,75018
"0750329A","LYCEE TECHNOLOGIQUE PRIVE","SAINT-HONORE","117 AVENUE VICTOR HUGO","PARIS",75,75116
"0750330B","LYCEE TECHNOLOGIQUE PRIVE","EC TECHNIQUE SUP LABORATOIRE","93  RUE DU DESSOUS DES BERGES","PARIS",75,75013
"0753874D","LYCEE GENERAL PRIVE","ECOLE ACTIVE JEANNINE MANUEL","70  RUE DU THEATRE","PARIS",75,75015
"0731348U","LYCEE PROFESSIONNEL PRIVE","ST AMBROISE","2 RUE BURDIN","CHAMBERY",73,73000
"0752697Z","LYCEE PROFESSIONNEL",,"93 RUE DE L'OUEST","PARIS",75,75014
"0752698A","LYCEE PROFESSIONNEL","ANNEXE LEP 0750784V","35 RUE CAVAIGNAC","PARIS",75,75011
"0752699B","LYCEE PROFESSIONNEL","ANNEXE LEP 0750799L","112 BOULEVARD BERTHIER","PARIS",75,75017
"0752702E","LYCEE PROFESSIONNEL","J-E CHAMPIONNET","113 RUE CHAMPIONNET","PARIS",75,75018
"0762100V","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.MONT-JOLY","16 RUE DE LA VALLEE","LE HAVRE",76,76600
"0754012D","LYCEE TECHNOLOGIQUE PRIVE","DE PASSY","60 RUE RAYNOUARD","PARIS",75,75016
"0754015G","LYCEE POLYVALENT PRIVE","JULES RICHARD MICROTECHNIQUES","21  RUE CARDUCCI","PARIS",75,75019
"0753915Y","LYCEE GENERAL PRIVE","BLOMET","5  RUE BLOMET","PARIS",75,75015
"0753919C","LYCEE GENERAL PRIVE","PASCAL","33  BOULEVARD LANNES","PARIS",75,75016
"0762200D","LYCEE PROFESSIONNEL",,"PLACE PASTEUR","NOTRE DAME DE GRAVENCHON",76,76330
"0754860A","LYCEE GENERAL PRIVE","THERESE CHAPPUIS","52  RUE VANEAU","PARIS",75,75007
"0750699C","LYCEE GENERAL","JANSON DE SAILLY","106  RUE DE LA POMPE","PARIS",75,75016
"0750700D","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN-BAPTISTE SAY","11 BIS RUE D'AUTEUIL","PARIS",75,75016
"0750701E","LYCÉE D'ETAT","JEAN ZAY INTERNAT D'EXCELLENCE","10  RUE DU DOCTEUR BLANCHE","PARIS",75,75016
"0750703G","LYCEE GENERAL","MOLIERE","71  RUE DU RANELAGH","PARIS",75,75016
"0750704H","LYCEE GENERAL","CARNOT","145  BOULEVARD MALESHERBES","PARIS",75,75017
"0750705J","LYCEE GENERAL ET TECHNOLOGIQUE","HONORE DE BALZAC","118  BOULEVARD BESSIERES","PARIS CEDEX 17",75,75849
"0754224J","LYCEE PROFESSIONNEL PRIVE","SAINTE-THERESE","40 RUE LA FONTAINE","PARIS",75,75016
"0754965P","LYCEE GEN.ET TECHNOL.PRIVE","LUCIEN DE HIRSCH","70  AVENUE SECRETAN","PARIS",75,75019
"0760088H","LYCEE PROFESSIONNEL","ELISA LEMONNIER","59 boulevard CHARLES DE GAULLE","LE PETIT QUEVILLY CEDEX",76,76141
"0760090K","LYCEE GENERAL","PIERRE CORNEILLE","4  RUE DU MAULEVRIER","ROUEN CEDEX",76,76044
"0760093N","LYCEE GENERAL","CAMILLE SAINT-SAENS","22  RUE SAINT-LO","ROUEN CEDEX",76,76005
"0760095R","LYCEE POLYVALENT","BLAISE PASCAL","5  RUE DES EMMUREES","ROUEN CEDEX",76,76174
"0760096S","LYCEE GENERAL ET TECHNOLOGIQUE","GUSTAVE FLAUBERT","1  RUE ALBERT DUPUIS","ROUEN CEDEX",76,76044
"0333260P","SECTION D'APPRENTISSAGE","LYCEE PAPE CLEMENT","1 RUE LEO LAGRANGE","PESSAC CEDEX",33,33605
"0751751W","COURS DE PROMOTION PRO","LYCEE TECHNIQUE","14 RUE EMILE DUBOIS","PARIS",75,75014
"0754475G","LPO LYCEE DES METIERS","LEONARD DE VINCI","20  RUE BOURSEUL","PARIS",75,75015
"0754479L","LYCEE GENERAL PRIVE","OZAR HATORAH","34  RUE DU MOULIN JOLY","PARIS",75,75011
"0753880K","LYCEE GENERAL PRIVE","SAINT-LOUIS","50 RUE DE CLICHY","PARIS",75,75009
"0755121J","LYCEE TECHNOLOGIQUE PRIVE","SINAI","9 RUE JACQUES IBERT","PARIS",75,75017
"0762765T","LP LYCEE DES METIERS","ANTOINE-LAURENT LAVOISIER","51  RUE DES MOTEAUX","LE HAVRE",76,76620
"0760052U","LYCEE GENERAL","FRANCOIS 1ER","2 rue JEAN-PAUL SARTRE","LE HAVRE CEDEX",76,76066
"0752426E","LYCEE PROFESSIONNEL AGRICOLE","DU BREUIL-EC.HORT.ET ARBOR.","ROUTE DE LA FERME","PARIS",75,75012
"0754087K","LYCEE GENERAL PRIVE","MAITRISE DE MONTMARTRE","7 RUE SAINT VINCENT","PARIS",75,75018
"0754030Y","LYCEE POLYVALENT PRIVE","ALBERT DE MUN","2  RUE D'OLIVET","PARIS",75,75007
"0761742F","LYCEE GENERAL ET TECHNOLOGIQUE","VAL DE SEINE","AVENUE GEORGES BRAQUE","LE GRAND QUEVILLY CEDEX",76,76124
"0760030V","LPO LYCEE DES METIERS","FERDINAND BUISSON","6 rue AUGUSTE HOUZEAU","ELBEUF CEDEX",76,76504
"0760032X","LPO LYCEE DES METIERS","ANGUIER","Place GASTON LEROUX","EU",76,76260
"0760035A","LYCEE GENERAL ET TECHNOLOGIQUE","GUY DE MAUPASSANT","1575  BOULEVARD NELSON MANDELA","FECAMP CEDEX",76,76401
"0760036B","LYCEE PROFESSIONNEL","DESCARTES","1575  BOULEVARD NELSON MANDELA","FECAMP CEDEX",76,76401
"0760047N","LYCEE PROFESSIONNEL","HENRI FAYOL","4 AVENUE DU MAL LECLERC BP.4","GRAND COURONNE",76,76530
"0771246L","LYCEE GENERAL PRIVE","BOSSUET","12 RUE DE LA VISITATION","MEAUX CEDEX",77,77109
"0771247M","LYCEE GENERAL PRIVE","SAINTE MARIE","41 RUE DE CHAAGE","MEAUX CEDEX",77,77109
"0760054W","LYCEE POLYVALENT","PORTE OCEANE","44 RUE EMILE ZOLA","LE HAVRE",76,76600
"0760056Y","LYCEE TECHNOLOGIQUE","JULES SIEGFRIED","1 rue DUME D'APLEMONT","LE HAVRE CEDEX",76,76054
"0760059B","LYCEE PROFESSIONNEL","AUGUSTE PERRET","PLACE ROBERT SCHUMANN","LE HAVRE",76,76610
"0760061D","LYCEE PROFESSIONNEL","FRANCOISE DE GRACE","85 RUE AMAND AGASSE","LE HAVRE",76,76600
"0760062E","LP LYCEE DES METIERS","JULES LE CESNE","33  RUE FLEURUS","LE HAVRE",76,76600
"0760072R","LYCEE GENERAL ET TECHNOLOGIQUE","GUILLAUME LE CONQUERANT","ALLÉE DE LA COTE BLANCHE","LILLEBONNE",76,76170
"0760076V","LYCEE GENERAL ET TECHNOLOGIQUE","JEAN PREVOST","Avenue JEAN PREVOST","MONTIVILLIERS",76,76290
"0760082B","LP LYCEE DES METIERS","JEAN ROSTAND","501 rue du Château","OFFRANVILLE",76,76550
"0760087G","LP LYCEE DES METIERS","COLBERT","197  AVENUE DES ALLIÉS","LE PETIT QUEVILLY CEDEX",76,76141
"0752845K","LYCEE PROFESSIONNEL","THEOPHILE GAUTIER","49  RUE DE CHARENTON","PARIS",75,75012
"0740003B","LYCEE GENERAL","CLAUDE LOUIS BERTHOLLET","9 boulevard DU LYCEE","ANNECY CEDEX",74,74008
"0740005D","LYCEE GENERAL ET TECHNOLOGIQUE","GABRIEL FAURE","2 avenue DU RHONE","ANNECY CEDEX",74,74008
"0740006E","LPO LYCEE DES METIERS","LOUIS LACHENAL","335  ROUTE CHAMP FARCON","PRINGY CEDEX",74,74371
"0740010J","LYCEE PROFESSIONNEL","LE SALEVE","59 route D' ETREMBIERES","ANNEMASSE CEDEX",74,74107
"0753933T","LYCEE GENERAL PRIVE","SAINT-LOUIS DE GONZAGUE","12  RUE BENJAMIN FRANKLIN","PARIS",75,75016
"0753537M","LYCEE TECHNOLOGIQUE PRIVE","EC SUP TECH BIOLOGIE APPLIQUEE","56 RUE PLANCHAT","PARIS",75,75020
"0754325U","LYCEE GENERAL PRIVE","BETH HANNA","49  RUE PETIT","PARIS",75,75019
"0752388N","LYCEE PROFESSIONNEL","PIERRE LESCOT","35  RUE DES BOURDONNAIS","PARIS",75,75001
"0752608C","LP LYCEE DES METIERS","BELLIARD","135  RUE BELLIARD","PARIS",75,75018
"0752610E","LYCEE PROFESSIONNEL","MARTIN NADAUD","23 RUE DE LA BIDASSOA","PARIS",75,75020
"0760132F","LP LYCEE DES METIERS","JULES SIEGFRIED","1 rue DUME D'APLEMONT","LE HAVRE CEDEX",76,76054
"0760142S","LYCEE PROFESSIONNEL","GUSTAVE FLAUBERT","1  RUE ALBERT DUPUIS","ROUEN CEDEX",76,76044
"0760143T","LYCEE PROF PRIVE DES METIERS","ECOLE INDUSTRIELLE","50 RUE MERIDIENNE","ROUEN",76,76100
"0760144U","LP LYCEE DES METIERS","SCHUMAN-PERRET","51  AVENUE DU 8 MAI 1945","LE HAVRE",76,76610
"0760145V","LYCEE PROFESSIONNEL","VAL DE SEINE","AVENUE GEORGES BRAQUE","LE GRAND QUEVILLY CEDEX",76,76124
"0760146W","LP LYCEE DES METIERS","MARCEL SEMBAT","128  RUE LEON SALVA","SOTTEVILLE LES ROUEN",76,76300
"0751742L","COURS DE PROMOTION PRO","LYCEE TECHNIQUE J.SIEGFRIED","12  RUE D ABBEVILLE","PARIS",75,75010
"0753430W","LYCEE PROFESSIONNEL","AMPERE","9 RUE DES PANOYAUX","PARIS",75,75020
"0751592Y","COURS DE PROMOTION PRO","LYCEE D ENS.PROFESSIONNEL","7  RUE DES ECLUSES SAINT MARTIN","PARIS",75,75010
"0752961L","LYCEE PROFESSIONNEL","GUSTAVE EIFFEL","1  RUE DU GENERAL CAMOU","PARIS",75,75007
"0754037F","LYCEE TECHNOLOGIQUE PRIVE","LA PLAINE MONCEAU","9  BOULEVARD DE COURCELLES","PARIS",75,75008
"0751543V","COURS DE PROMOTION PRO","LYCEE D ENS.PROFESSIONNEL","61  RUE CORVISART","PARIS",75,75013
"0751544W","COURS DE PROMOTION PRO","LYCEE D ENS.PROFESSIONNEL","92  RUE BARRAULT","PARIS",75,75013
"0751545X","COURS DE PROMOTION PRO","LYCEE D ENS PROFESSIONNEL","39  RUE DE LA ROQUETTE","PARIS",75,75011
"0751547Z","COURS DE PROMOTION PRO","LYCEE TECHN. D ETAT RASPAIL","233 BOULEVARD RASPAIL","PARIS",75,75014
"0751553F","COURS DE PROMOTION PRO","LYCEE D ENS.PROFESSIONNEL","22  SENTE DES DOREES","PARIS",75,75019
"0751554G","COURS DE PROMOTION PRO","LYCEE TECHNIQUE DIDEROT","60  BOULEVARD DE LA VILLETTE","PARIS",75,75019
"0754048T","LYCEE TECHNOLOGIQUE PRIVE","MORIN","182 RUE DE VAUGIRARD","PARIS",75,75015
"0761744H","LYCEE PROF. AGRICOLE ANNEXE","PAYS DE BRAY - NEUFCHATEL","BOULEVARD GUSTAVE EIFFEL","NEUFCHATEL EN BRAY",76,76270
"0754401B","ETABLISSEMENT EXPERIMENTAL","LYCEE AUTOGERE","393  RUE DE VAUGIRARD","PARIS",75,75015
"0753827C","LYCEE GENERAL PRIVE","LOUISE DE MARILLAC","32  RUE GEOFFROY SAINT HILAIRE","PARIS",75,75005
"0754206P","LYCEE PROFESSIONNEL PRIVE","SAINTE-JEANNE D'ARC","18 AVENUE REILLE","PARIS",75,75014
"0760024N","LYCEE PROFESSIONNEL","EMULATION DIEPPOISE","2  RUE DE STALINGRAD","DIEPPE CEDEX",76,76201
"0760029U","LYCEE GENERAL ET TECHNOLOGIQUE","ANDRE MAUROIS","1 RUE DE LORRAINE","ELBEUF CEDEX",76,76503
"0753943D","LYCEE GENERAL PRIVE","LA TOUR","86  RUE DE LA TOUR","PARIS",75,75016
"0753946G","LYCEE GENERAL PRIVE","NOTRE-DAME DES OISEAUX","12  RUE MICHEL ANGE","PARIS",75,75016
"0753947H","LYCEE GENERAL PRIVE","SAINT-JEAN DE PASSY","72  RUE RAYNOUARD","PARIS",75,75016
"0762442S","LYCEE POLYVALENT PRIVE","SAINT JOSEPH","CHÂTEAU DE MESNIERES","MESNIERES EN BRAY",76,76270
"0758513W","LYCEE ETRANGER PRIVE","LEONARD DE VINCI","12  RUE SEDILLOT","PARIS",75,75007
"0771815E","CENTRE DE FORMATION CONTINUE","LYCEE TECHNIQUE","PLACE DES CELESTINS","CHAMPAGNE SUR SEINE",77,77430
"0772324H","LYCEE GENERAL ET TECHNO PRIVE","CAMPUS SAINTE THERESE","AVENUE ERASME - ROND PT DE L'EUR","OZOIR LA FERRIERE",77,77330
"0763208Z","GROUPEMENT DE COMMANDE GROUPEE","ETAB. REG.ROUENNAISE - LYCEE A","1 RUE DE LORRAINE","ELBEUF CEDEX",76,76503
"0760005T","LYCEE GENERAL ET TECHNOLOGIQUE","THOMAS CORNEILLE","Avenue ANDRE MAUROIS","BARENTIN",76,76360
"0780212G","CTRE PROMOTION SOCIALE","DU LYCEE TECHNIQUE D ETAT","RUE FERNAND BODET","MANTES LA JOLIE",78,78200
"0762169V","LYCEE GENERAL ET TECHNOLOGIQUE","PABLO NERUDA","1  RUE SALVADOR ALLENDE","DIEPPE CEDEX",76,76204
"0763112V","LYCEE GENERAL PRIVE","LA PROVIDENCE","35 RUE QUEUE DE RENARD","FECAMP",76,76400
"0761348C","LYCEE PROFESSIONNEL PRIVE","SAINT HILDEVERT","3 BIS BOULEVARD DE MONTMORENCY","GOURNAY EN BRAY",76,76220
"0761349D","LP PRIVE LYCEE DES METIERS","SAINT VINCENT DE PAUL","25 rue DUMONT D'URVILLE","LE HAVRE",76,76600
"0761353H","LYCEE PROFESSIONNEL PRIVE","DE LA COIFFURE ALBERT POURRIER","36 BIS AVENUE DES CANADIENS","LE PETIT QUEVILLY",76,76140
"0761359P","LYCEE POLYVALENT PRIVE","GERMAINE COTY","86  RUE DE CHATEAUDUN","LE HAVRE",76,76620
"0754529R","LYCEE TECHNOLOGIQUE","ALFRED ROLL","24 RUE DUPERRE","PARIS",75,75009
"0754530S","LPO LYCEE DES METIERS","MARTIN NADAUD","23 RUE DE LA BIDASSOA","PARIS",75,75020
"0762600N","LYCEE POLYVALENT","EDOUARD DELAMARE DEBOUTTEVILLE","5  RUE ANDRE BERTRAND","FORGES LES EAUX",76,76440
"0762601P","LYCEE POLYVALENT","GEORGES BRASSENS","27  BOULEVARD GUSTAVE EIFFEL","NEUFCHATEL EN BRAY",76,76270
"0762602R","LP LYCEE DES METIERS","DES 4 CANTONS - GRIEU","1  AVENUE DES QUATRE CANTONS","ROUEN CEDEX",76,76044
"0762735K","LYCEE PROFESSIONNEL MARITIME","ANITA CONTI","84 quai GUY DE MAUPASSANT","FECAMP",76,76400
"0753823Y","LYCEE GENERAL PRIVE","MORIA - DIANE BENVENUTI","9 RUE LEKAIN","PARIS",75,75116
"0754184R","LYCEE PROFESSIONNEL PRIVE","EUGENE NAPOLEON","254 RUE DU FG SAINT ANTOINE","PARIS",75,75012
"0754081D","LYCEE GENERAL PRIVE","STE URSULE-LOUISE BETTIGNIES","25  RUE DAUBIGNY","PARIS",75,75017
"0762309X","LYCEE PROFESSIONNEL","GUY DE MAUPASSANT","1575 BOULEVARD NELSON MANDELA","FECAMP",76,76400
"0762311Z","COURS DE PROMOTION SOCIALE","DU LYCEE TECHNIQUE","RUE SALVADOR ALLENDE","DIEPPE",76,76200
"0761707T","LYCEE GENERAL PRIVE","LA PROVIDENCE","CHEMIN DES VERTUS","DIEPPE",76,76200
"0761710W","LYCEE GEN.ET TECHNOL.PRIVE","SAINT JOSEPH","207 RUE FELIX FAURE","LE HAVRE CEDEX",76,76072
"0771028Z","SECTION ENSEIGNT PROFESSIONNEL","DU LYCEE ETIENNE BEZOUT","31 AVENUE ETIENNE DAILLY","NEMOURS CEDEX",77,77796
"0752937K","LYCEE GENERAL PRIVE","ECOLE  INTERNATIONAL BILINGUE","9  RUE VILLARET DE JOYEUSE","PARIS",75,75017
"0771364P","SECTION ENSEIGNT PROFESSIONNEL","DU LYCEE JOLIOT CURIE","168 RUE FREDERIC JOLIOT CURIE","DAMMARIE LES LYS CEDEX",77,77196
"0761851Z","COURS DE PROMOTION SOCIALE","LYCEE TECHNIQUE BLAISE PASCAL","5 RUE DES EMMUREES","ROUEN",76,76100
"0761852A","COURS DE PROMOTION SOCIALE","LYCEE TECHNIQUE G.FLAUBERT","RUE ALBERT DUPUIS","ROUEN",76,76000
"0760007V","LYCEE PROFESSIONNEL","AUGUSTE BARTHOLDI","142 rue Denis Papin","BARENTIN",76,76360
"0760012A","LYCEE PROFESSIONNEL","PIERRE DE COUBERTIN","130 BIS RUE GEORGES CLEMENCEAU","BOLBEC",76,76210
"0760013B","LYCEE PROFESSIONNEL","PIERRE ET MARIE CURIE","33  RUE DU CALVAIRE","BOLBEC",76,76210
"0754165V","LYCEE PROFESSIONNEL PRIVE","COIFFURE MARCEL LAMY","15  RUE DES FILLETTES","PARIS",75,75018
"0762570F","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROFESSIONNEL","39 AVENUE DE LA GARE","EU",76,76260
"0762571G","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROFESSIONNEL","ROUTE DE ROCADE","NEUFCHATEL EN BRAY",76,76270
"0753885R","LYCEE GENERAL PRIVE","ROCROY SAINT-VINCENT DE PAUL","106  RUE DU FAUBOURG POISSONNIER","PARIS",75,75010
"0753886S","LYCEE CLASS.ET MODERNE PRIVE","NOTRE DAME DE FRANCE","17 RUE YVES TOUDIC","PARIS",75,75010
"0753890W","LYCEE GEN.ET TECHNOL.PRIVE","CHARLES PEGUY","54  AVENUE DE LA REPUBLIQUE","PARIS",75,75011
"0760102Y","LYCEE PROFESSIONNEL","JEAN LURCAT","RUE DU VAL L'ABBE","ST ETIENNE DU ROUVRAY",76,76800
"0760104A","LYCEE PROFESSIONNEL","HONORE PONS","199 RUE DE MILAN","ST NICOLAS D ALIERMONT",76,76510
"0760109F","LYCEE GENERAL ET TECHNOLOGIQUE","LES BRUYERES","67 avenue DES CANADIENS","SOTTEVILLE LES ROUEN",76,76300
"0760113K","LYCEE PROFESSIONNEL",,"29 RUE DENIS PAPIN","LE TRAIT",76,76580
"0760114L","LYCEE PROFESSIONNEL","LE HURLE-VENT","1  RUE JEAN MOULIN","LE TREPORT",76,76470
"0753825A","LYCEE PRIVE POUR HANDICAPES","MORVAN","68  RUE DE LA CHAUSSEE D'ANTIN","PARIS",75,75009
"0761735Y","LYCEE POLYVALENT PRIVE","JEANNE D'ARC","22 rue DU GENERAL DE GAULLE","STE ADRESSE",76,76310
"0760022L","LP LYCEE DES METIERS","BERNARD PALISSY","5  SENTE AUX LOUPS","MAROMME CEDEX",76,76152
"0761315S","LYCEE GEN. ET TECHN. AGRICOLE","D'YVETOT","ROUTE DE CAUDEBEC","AUZEBOSC",76,76190
"0762879S","LYCEE GENERAL ET TECHNOLOGIQUE","VALLEE DU CAILLY","Rue DU PETIT AULNAY","DEVILLE LES ROUEN",76,76250
"0762880T","LYCEE POLYVALENT","RAYMOND QUENEAU","RUE DU DOCTEUR ZAMENHOF","YVETOT CEDEX",76,76194
"0780015T","LYCEE MILITAIRE","MILITAIRE","2  AVENUE JEAN JAURES","ST CYR L ECOLE",78,78210
"0780515L","LYCEE GENERAL ET TECHNOLOGIQUE","LES SEPT MARES","13  RUE DE LA BEAUCE","MAUREPAS",78,78310
"0762285W","LYCEE PROFESSIONNEL PRIVE","DANIEL BROTTIER","11 IMPASSE DU CHATEAU","SMERMESNIL",76,76660
"0790007D","LGT LYCEE DES METIERS","MAURICE GENEVOIX","36 RUE DE MALABRY","BRESSUIRE CEDEX",79,79301
"0771358H","SECTION ENSEIGNT PROFESSIONNEL","DU LYCEE THIBAULT DE CHAMPAGNE","3 RUE DU COLLEGE","PROVINS",77,77160
"0783005T","LYCEE PROFESSIONNEL","JULES FERRY","29 RUE DU MARECHAL JOFFRE","VERSAILLES",78,78000
"0753647G","LYCEE GENERAL PRIVE","ECOLE ALSACIENNE","109  RUE NOTRE DAME DES CHAMPS","PARIS",75,75006
"0772243V","LYCEE GENERAL ET TECHNOLOGIQUE","CAMILLE CLAUDEL","PLACE ANYAMA","PONTAULT COMBAULT CEDEX",77,77347
"0772244W","LP LYCEE DES METIERS","ANTONIN CAREME","1 PLACE GUSTAVE COURBET","SAVIGNY LE TEMPLE",77,77176
"0790054E","LYCEE PRIVE","NOTRE DAME","4 RUE DES RELIGIEUSES","BRESSUIRE",79,79300
"0761788F","LYCEE PROFESSIONNEL",,"37 RUE JOSEPH CODDEVILLE","YVETOT",76,76190
"0782539L","LYCEE GENERAL ET TECHNOLOGIQUE","ST EXUPERY","8 rue MARCEL FOUQUE","MANTES LA JOLIE CEDEX",78,78201
"0782540M","LYCEE POLYVALENT","JEAN ROSTAND","66 rue FERNAND BODET","MANTES LA JOLIE",78,78200
"0782546U","LYCEE GENERAL ET TECHNOLOGIQUE","LE CORBUSIER","88 rue DE VILLIERS","POISSY",78,78300
"0782549X","LYCEE POLYVALENT","LOUIS BASCAN","5 avenue DU GAL LECLERC","RAMBOUILLET CEDEX",78,78513
"0780249X","LYCEE PROFESSIONNEL PRIVE","STE THERESE","23 RUE GEORGES HERREWYN","BONNIERES SUR SEINE",78,78270
"0772290W","LYCEE GENERAL PRIVE","SAINTE CROIX","1 RUE DES JACOBINS","PROVINS",77,77160
"0770937A","SECTION ENSEIGNT PROFESSIONNEL","LYCEE SIMONE SIGNORET","Place DU 14 JUILLET","VAUX LE PENIL",77,77000
"0770938B","LPO LYCEE DES METIERS","ANDRE MALRAUX","AVENUE DU LYCEE","MONTEREAU FAULT YONNE",77,77130
"0782553B","LYCEE GENERAL ET TECHNOLOGIQUE","MARCEL ROBY","6 RUE GIRAUD TEULON","ST GERMAIN EN LAYE CEDEX",78,78101
"0782554C","LYCEE GENERAL","INTERNATIONAL","RUE DU FER A CHEVAL","ST GERMAIN EN LAYE CEDEX",78,78104
"0782555D","LYCEE GENERAL","CLAUDE DEBUSSY","30 RUE ALEXANDRE DUMAS","ST GERMAIN EN LAYE CEDEX",78,78101
"0782557F","LPO LYCEE DES METIERS","JEAN-BAPTISTE POQUELIN","72  RUE LEON DESOYER","ST GERMAIN EN LAYE CEDEX",78,78101
"0761322Z","LYCEE PROFESSIONNEL","CLAUDE MONET","267 rue FELIX FAURE","LE HAVRE CEDEX",76,76085
"0772326K","SECTION ENSEIGNT PROFESSIONNEL","LYCEE PANNEVELLES","ROUTE DE CHALAUTRE","PROVINS CEDEX",77,77487
"0772327L","SECTION ENSEIGNT PROFESSIONNEL","LYCEE DESCARTES","4  BOULEVARD COPERNIC","CHAMPS SUR MARNE",77,77420
"0771512A","LYCEE GENERAL ET TECHNOLOGIQUE","VAN DONGEN","45 RUE JEAN MERMOZ","LAGNY SUR MARNE",77,77400
"0770963D","LYCEE MILITAIRE NATIONAL",,,"ECHOUBOULAINS",77,77830
"0772329N","SECTION ENSEIGNT PROFESSIONNEL","LYCEE BLAISE PASCAL","15 ALLÉE DU CDT GUESNET","BRIE COMTE ROBERT CEDEX",77,77253
"0772332S","LYCEE POLYVALENT","SONIA DELAUNAY","1  RUE DU LYCEE","CESSON",77,77240
"0772334U","SECTION ENSEIGNT PROFESSIONNEL","LYCEE LAFAYETTE","PLACE DES CELESTINS","CHAMPAGNE SUR SEINE",77,77430
"0772336W","SECTION ENSEIGNT PROFESSIONNEL","LYCEE LA TOUR DES DAMES","RUE DE VILPRE","ROZAY EN BRIE",77,77540
"0772337X","SECTION ENSEIGNT PROFESSIONNEL","LYCEE LA MARE CARREE","RUE DU LYCEE","MOISSY CRAMAYEL CEDEX",77,77552
"0772340A","LYCEE POLYVALENT","L'ARCHE GUEDON","2 passage DE L'ARCHE GUEDON","TORCY",77,77200
"0770940D","LPO LYCEE DES METIERS","ETIENNE BEZOUT","31 AVENUE ETIENNE DAILLY","NEMOURS CEDEX",77,77796
"0770942F","LYCEE POLYVALENT","THIBAUT DE CHAMPAGNE","3  RUE DU COLLEGE","PROVINS",77,77160
"0770943G","LP LYCEE DES METIERS","BENJAMIN FRANKLIN","RUE DE LA FORET - LA ROCHETTE","LA ROCHETTE",77,77000
"0770944H","LYCEE PROFESSIONNEL","AUGUSTE PERDONNET","1  ALLÉE DU CHATEAU","THORIGNY SUR MARNE",77,77400
"0761860J","COURS DE PROMOTION SOCIALE","LYCEE D ENS.PROF.",,"OFFRANVILLE",76,76550
